Company Name,Headquarters,Size,Type of ownership,Industry,Sector
Varsity Tutors,"Saint Louis, MO",201 to 500 employees,Company - Private,Internet,Information Technology
IHS Markit,"London, United Kingdom",10000+ employees,Company - Public,Consulting,Business Services
Discount Tire,"Scottsdale, AZ",10000+ employees,Company - Private,Automotive Parts & Accessories Stores,Retail
Integrate,"Phoenix, AZ",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
MUFG,"Tokyo, Japan",10000+ employees,Company - Public,Banks & Credit Unions,Finance
USAA,"San Antonio, TX",10000+ employees,Company - Private,Insurance Carriers,Insurance
Zoom Video Communications,"San Jose, CA",1001 to 5000 employees,Company - Public,IT Services,Information Technology
Offerpad,"Chandler, AZ",201 to 500 employees,Company - Private,Real Estate,Real Estate
Sysmind LLC,"Princeton Junction, NJ",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Berkeley Research Group, LLC","Emeryville, CA",1001 to 5000 employees,Company - Private,Consulting,Business Services
Corbins Electric,"Phoenix, AZ",501 to 1000 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
Vaco Technology,"Brentwood, TN",501 to 1000 employees,Company - Private,Consulting,Business Services
Softcom Systems,"Princeton, NJ",1 to 50 employees,Company - Private,IT Services,Information Technology
GTN Technical Staffing,"Dallas, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Scientific Technologies Corporation,"Phoenix, AZ",51 to 200 employees,Company - Private,IT Services,Information Technology
Impetus Technologies,"Los Gatos, CA",1001 to 5000 employees,Company - Private,Computer Hardware & Software,Information Technology
Soaren Management,"Phoenix, AZ",51 to 200 employees,Company - Private,Lending,Finance
IntraEdge,"Chandler, AZ",501 to 1000 employees,Company - Private,IT Services,Information Technology
fulcrum worldwide,"Jersey City, NJ",501 to 1000 employees,Company - Private,IT Services,Information Technology
Zoom,"San Jose, CA",1001 to 5000 employees,Company - Public,IT Services,Information Technology
Shutterfly,"Redwood City, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology
National Education Partners,"Scottsdale, AZ",201 to 500 employees,Company - Private,Colleges & Universities,Education
Viasat,"Carlsbad, CA",5001 to 10000 employees,Company - Public,Telecommunications Services,Telecommunications
"TekCom Resources, Inc.","King of Prussia, PA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
NAGRA (Kudelski Group),"Cheseaux-sur-Lausanne, Switzerland",1001 to 5000 employees,Company - Public,Telecommunications Manufacturing,Telecommunications
Atos Syntel Inc.,"Troy, MI",10000+ employees,Subsidiary or Business Segment,IT Services,Information Technology
Modis,"Zurich, Switzerland",5001 to 10000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
ON Semiconductor,"Phoenix, AZ",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Exact Sciences Corporation,"Madison, WI",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
Town of Gilbert,"Gilbert, AZ",1001 to 5000 employees,Company - Public,Construction,"Construction, Repair & Maintenance"
Blue Cross Blue Shield of Arizona,"Phoenix, AZ",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance
PennyMac,"Westlake Village, CA",1001 to 5000 employees,Company - Public,Lending,Finance
Vanguard,"Malvern, PA",10000+ employees,Company - Private,Investment Banking & Asset Management,Finance
Parker & Lynch,"Jacksonville, FL",501 to 1000 employees,Company - Public,Staffing & Outsourcing,Business Services
Gatestone & Co. Inc,"North York, Canada",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Edupoint,"Irvine, CA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
thredUP,"Oakland, CA",1001 to 5000 employees,Company - Private,"Department, Clothing, & Shoe Stores",Retail
Siemens Healthineers,"Erlangen, Germany",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
The Paragon Group,"SUNDERLAND, United Kingdom",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
Intel Corp.,"Santa Clara, CA",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Crisis Response Network,"Tempe, AZ",51 to 200 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Clairvoyant,"Chandler, AZ",501 to 1000 employees,Company - Private,IT Services,Information Technology
Sprouts Farmers Market,"Phoenix, AZ",10000+ employees,Company - Public,Food & Beverage Stores,Retail
Minit Charger,"Cranbury, NJ",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Desert Financial,"Phoenix, AZ",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
University of Phoenix,"Phoenix, AZ",1001 to 5000 employees,College / University,Colleges & Universities,Education
Oscar Health,"New York, NY",1001 to 5000 employees,Company - Private,Insurance Agencies & Brokerages,Insurance
BlueOptima,"London, United Kingdom",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Tech Finders,"Phoenix, AZ",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Equity Methods,"Scottsdale, AZ",51 to 200 employees,Company - Private,Consulting,Business Services
PayPal,"San Jose, CA",10000+ employees,Company - Public,Internet,Information Technology
O'Reilly Automotive,"Springfield, MO",10000+ employees,Company - Public,Automotive Parts & Accessories Stores,Retail
Blue Rose Technologies LLC,"Bengaluru, India",201 to 500 employees,Company - Private,IT Services,Information Technology
"Circle K Stores, Inc.","Tempe, AZ",10000+ employees,Company - Public,Gas Stations,Retail
TriWest Healthcare Alliance,"Phoenix, AZ",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
PetSmart,"Phoenix, AZ",10000+ employees,Company - Private,Pet & Pet Supplies Stores,Retail
Nucleusteq,"Phoenix, AZ",201 to 500 employees,Company - Private,IT Services,Information Technology
Terracon,"Olathe, KS",1001 to 5000 employees,Company - Private,Architectural & Engineering Services,Business Services
U.S. Navy,"San Diego, CA",1001 to 5000 employees,Government,Federal Agencies,Government
Mastech Digital,"Moon Township, PA",1001 to 5000 employees,Company - Public,Staffing & Outsourcing,Business Services
StateServ,"Mesa, AZ",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care
The Buffalo Group,"Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
22nd Century Staffing,"McLean, VA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Phoenix Children's Hospital,"Phoenix, AZ",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Buchanan & Edwards,"Arlington, VA",201 to 500 employees,Company - Private,IT Services,Information Technology
Swift Refrigerated,"Phoenix, AZ",10000+ employees,Company - Public,Trucking,Transportation & Logistics
Guidehouse,"Washington, DC",5001 to 10000 employees,Company - Private,Consulting,Business Services
Silicon Valley Bank,"Santa Clara, CA",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
Envision Healthcare,"Nashville, TN",10000+ employees,Company - Private,Health Care Services & Hospitals,Health Care
VincentBenjamin,"Phoenix, AZ",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
"Groundwater & Environmental Services, Inc.","Wall Township, NJ",501 to 1000 employees,Company - Private,Architectural & Engineering Services,Business Services
Xoriant Corporation,"Sunnyvale, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Bartech Group,"South Holland, IL",51 to 200 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
Strategic Systems,"Dublin, OH",201 to 500 employees,Company - Private,IT Services,Information Technology
DEREX TECHNOLOGIES INC.,"Harrison, NJ",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Net2Source,"Somerset, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Sonora Quest Laboratories,"Tempe, AZ",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
"Airetel Staffing, Inc","Altamonte Springs, FL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Pegasus Knowledge Solutions,"Schaumburg, IL",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
PeopleNTech LLC,"Vienna, VA",1 to 50 employees,Contract,IT Services,Information Technology
"The Judge Group, Inc.","Wayne, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Shamrock Foods,"Phoenix, AZ",1001 to 5000 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing
Cable One,"Phoenix, AZ",1001 to 5000 employees,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications
"Allstate Insurance - 1202 Irving, TX","Northbrook, IL",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance
COPA Health,"Mesa, AZ",501 to 1000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Metasys Technologies,"Atlanta, GA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Axon,"Scottsdale, AZ",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
"Resourcesoft, Inc.","Marlborough, MA",51 to 200 employees,Company - Private,Consulting,Business Services
Kineticom,"San Diego, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
The Judge Group,"Wayne, PA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Arizona Department of Public Safety,"Phoenix, AZ",1001 to 5000 employees,Government,State & Regional Agencies,Government
InterSources Inc.,"Fremont, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
ISGIT,"Herndon, VA",51 to 200 employees,Company - Private,IT Services,Information Technology
Na Ali'i,"Honolulu, HI",201 to 500 employees,Company - Private,Consulting,Business Services
Siemens,"Munich, Germany",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
StrongMind,"Chandler, AZ",51 to 200 employees,Company - Private,K-12 Education,Education
NXP Semiconductors,"Eindhoven, Netherlands",10000+ employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Stantec,"Edmonton, Canada",10000+ employees,Company - Public,Architectural & Engineering Services,Business Services
circle k,"Tempe, AZ",10000+ employees,Company - Public,Gas Stations,Retail
Matrix Medical Network,"Scottsdale, AZ",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Allstate,"Northbrook, IL",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance
"DriveTime Automotive Group, Inc.","Tempe, AZ",5001 to 10000 employees,Company - Private,Vehicle Dealers,Retail
"ICST, LLC","South Portland, ME",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Kollasoft Inc.,"Scottsdale, AZ",1 to 50 employees,Company - Private,IT Services,Information Technology
U-Haul,"Reno, NV",10000+ employees,Company - Public,Truck Rental & Leasing,Transportation & Logistics
"Cable One, Inc.","Phoenix, AZ",1001 to 5000 employees,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications
"AOC Solutions, Inc.","Chantilly, VA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Blue Rose Technologies,"Bengaluru, India",201 to 500 employees,Company - Private,IT Services,Information Technology
APN Staffing & Employment Solutions,"Phoenix, AZ",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Auritas LLC,"Sanford, FL",201 to 500 employees,Company - Private,IT Services,Information Technology
TekShapers,"Troy, MI",1 to 50 employees,Company - Public,IT Services,Information Technology
Accenture,"Dublin, Ireland",10000+ employees,Company - Public,Consulting,Business Services
Diversant LLC,"Red Bank, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Adwait Algorithm,"Houston, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Net2Source Inc.,"Somerset, NJ",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Deloitte,"New York, NY",10000+ employees,Company - Private,Accounting,Accounting & Legal
Deloitte & Touche L.L.P.,"New York, NY",10000+ employees,Company - Private,Accounting,Accounting & Legal
STEVENS CAPITAL MANAGEMENT,"Radnor, PA",51 to 200 employees,Company - Private,Financial Analytics & Research,Finance
Maestro Technologies,"Trenton, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology
Children's Hospital of Philadelphia,"Philadelphia, PA",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
United BioSource,"Blue Bell, PA",1001 to 5000 employees,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Philadelphia 76ers,"Philadelphia, PA",201 to 500 employees,Subsidiary or Business Segment,Sports & Recreation,"Arts, Entertainment & Recreation"
Avanceon Lp,"Exton, PA",51 to 200 employees,Company - Private,Architectural & Engineering Services,Business Services
